n_members,n_windows,sol_lon_min,sol_lon_max,best_z,ra,dec,vgeo,sol_lon,q,e,i,peri,node,gmn_code,gmn_code_fraction,sporadic_fraction,iau_established,iau_established_sep,iau_working,iau_working_sep,gathered,n_years_present,n_years_excess,excess_years,median_year_z,max_year_fraction,gathered_sporadic_fraction,lam_sun_centred,beta_ecl,nearest_sporadic_source,sporadic_source_dist_deg
231,7,283.5,294.5,21.76,98.44,-32.47,25.44,284.65,0.8385,0.8132,34.44,47.47,104.65,PIP,0.718,0.282,,,LCM,0.97,429,7,7,"2020,2021,2022,2023,2024,2025,2026",3.29,0.382,0.345,178.89,-56.46,antihelion,59.4
3389,10,190.5,204.5,21.48,33.35,8.82,28.97,197.6,0.2887,0.834,5.87,124.32,17.59,SOA,0.55,0.007,STA,2.47,SOA,0.55,6270,7,7,"2019,2020,2021,2022,2023,2024,2025",19.06,0.273,0.075,196.27,-4.32,antihelion,5.7
39,2,94.5,98.0,21.0,345.19,11.3,66.88,96.08,0.8448,0.9509,150.32,229.34,96.08,FPE,1.0,0.0,JPE,1.99,FPE,0.13,108,6,1,2022,0.19,0.259,0.213,254.89,16.27,north_apex,14.6
51,2,72.0,75.5,21.0,297.98,66.44,34.61,73.97,1.0077,0.9644,55.26,170.54,73.97,JRD,0.923,0.077,,,JRD,0.18,85,7,6,"2021,2022,2023,2024,2025,2026",3.91,0.318,0.271,298.04,78.9,north_toroidal,21.3
145,5,1.5,9.5,21.0,194.12,25.35,26.64,8.4,0.6926,0.9507,21.7,248.19,8.4,BCO,0.808,0.192,,,BCO,0.45,250,8,8,"2019,2020,2021,2022,2023,2024,2025,2026",5.27,0.3,0.184,174.93,28.27,antihelion,37.3
60,3,0.0,360.5,21.0,260.86,-16.62,70.83,358.36,0.9526,0.9459,168.64,204.38,358.35,EOP,1.0,0.0,,,EOP,0.54,218,7,7,"2020,2021,2022,2023,2024,2025,2026",7.66,0.339,0.014,265.71,6.71,north_apex,9.3
453,7,96.0,107.0,20.8,21.5,44.42,57.75,100.06,0.6918,0.9503,113.74,110.1,100.06,CAN,0.909,0.091,FAN,2.29,UAN,2.28,682,7,7,"2020,2021,2022,2023,2024,2025,2026",12.2,0.383,0.082,297.86,32.7,north_apex,31.0
25,1,43.5,45.5,20.0,209.94,6.56,16.25,44.23,0.8281,0.6932,8.35,235.71,44.25,AVB,0.72,0.28,,,,,679,8,1,2021,0.76,0.339,0.672,160.91,17.4,antihelion,42.4
20,1,189.0,191.0,20.0,156.96,-3.6,32.46,189.96,0.1464,0.866,25.8,213.11,9.96,DSX,1.0,0.0,DSX,0.96,,,198,6,6,"2019,2021,2022,2023,2024,2025",26.0,0.303,0.081,330.1,-11.73,helion,15.3
10,1,337.5,339.5,19.0,191.89,-2.84,40.88,338.65,0.0337,0.9767,9.62,342.16,338.65,FGV,1.0,0.0,,,FGV,0.81,175,8,7,"2020,2021,2022,2023,2024,2025,2026",10.28,0.377,0.206,213.04,1.85,antihelion,13.2
24,1,219.0,221.0,19.0,104.05,15.71,64.14,219.51,0.4649,0.9044,163.82,96.84,39.51,ORI,1.0,0.0,ORI,6.79,,,3703,7,7,"2019,2020,2021,2022,2023,2024,2025",21.06,0.251,0.132,244.85,-7.04,south_apex,25.9
