n_members,n_windows,sol_lon_min,sol_lon_max,best_z,ra,dec,vgeo,sol_lon,q,e,i,peri,node,gmn_code,gmn_code_fraction,sporadic_fraction,iau_established,iau_established_sep,iau_working,iau_working_sep
28,1,103.5,105.5,15.8,16.92,25.64,66.6,104.01,0.911,0.8946,149.57,141.22,104.0,PPS,1.0,0.0,PPS,0.64,UPI,3.75
806,10,303.0,318.5,15.58,176.09,-34.0,58.7,308.5,0.6796,0.9049,113.69,69.94,128.5,OHY,0.819,0.181,OHY,0.2,,
85,4,31.5,36.5,15.5,224.36,-11.31,29.63,33.82,0.3576,0.8489,6.53,293.93,33.86,DLI,1.0,0.0,,,DLI,1.07
171,4,60.0,66.5,15.06,242.72,-10.4,24.84,61.17,0.5436,0.8019,9.15,272.51,61.2,MPS,0.964,0.036,,,MPS,0.97
50,2,339.0,342.5,15.06,293.31,47.97,30.67,339.92,0.9055,0.7565,48.95,143.34,339.92,MOC,0.375,0.625,,,FDC,1.34
28,1,52.5,54.5,15.06,213.73,10.21,14.78,53.27,0.8822,0.6709,9.16,226.93,53.29,,0.0,1.0,,,,
69,3,301.5,306.5,15.0,192.02,-17.46,67.57,302.32,0.8038,0.8248,158.78,53.41,122.32,ECV,1.0,0.0,ECV,0.64,SOV,7.47
25,2,93.0,96.5,15.0,319.54,49.53,46.64,95.69,0.9935,0.9603,80.68,197.56,95.69,SCY,1.0,0.0,JRC,5.2,SCY,0.47
38,2,306.0,309.5,15.0,206.54,-41.38,64.66,307.35,0.9765,0.8162,131.73,348.99,127.35,,0.0,1.0,,,ICN,6.27
19,1,3.0,5.0,15.0,264.96,-16.73,70.69,3.91,0.9349,0.9471,168.34,209.45,3.9,EOP,1.0,0.0,,,EOP,1.74
46,3,301.5,306.5,15.0,156.18,34.1,40.47,304.19,0.2925,0.9794,41.81,295.29,304.19,,0.0,1.0,,,RLM,3.83
19,1,325.5,327.5,15.0,179.85,-24.08,54.55,326.56,0.2421,0.9916,102.93,121.08,146.56,,0.0,1.0,,,FAC,0.48
19,1,70.5,72.5,15.0,203.08,7.5,11.81,71.54,0.9805,0.7566,4.75,202.43,71.59,M25L2,0.895,0.105,,,,
26,1,24.0,26.0,14.31,247.2,17.54,46.76,25.22,0.5251,0.9851,74.76,268.1,25.22,KSE,1.0,0.0,KSE,0.68,ABH,5.94
26,1,355.5,357.5,14.31,184.97,24.11,28.09,357.01,0.6157,0.9448,20.12,257.29,357.01,BCO,0.538,0.462,,,,
82,3,69.0,74.0,14.31,222.22,28.4,13.14,71.34,0.9716,0.6444,14.09,206.5,71.36,,0.0,1.0,,,,
79,2,337.5,341.0,14.09,244.45,59.58,28.64,338.41,0.9716,0.6496,47.15,198.04,338.41,ETD,0.526,0.474,,,ETD,0.58
18,1,351.0,353.0,14.0,182.47,23.24,29.15,351.97,0.5838,0.9582,20.42,260.89,351.98,BCO,0.167,0.833,,,,
36,3,318.0,323.0,14.0,205.12,-3.11,66.77,320.13,0.516,0.9759,164.93,268.31,320.13,,0.0,1.0,,,,
18,1,219.0,221.0,14.0,104.24,15.72,64.96,220.26,0.4796,0.9423,163.97,93.8,40.26,ORI,1.0,0.0,ORI,6.97,LGM,3.03
18,1,358.5,360.5,14.0,192.06,-45.44,44.62,359.34,0.4652,0.9842,67.9,94.32,179.46,,0.0,1.0,,,,
53,3,51.0,56.0,14.0,302.13,-33.65,64.81,53.51,0.554,0.9794,151.36,85.41,233.52,OMC,1.0,0.0,,,TTS,1.15
30,2,96.0,99.5,14.0,252.24,54.28,23.73,97.11,1.0075,0.953,34.14,190.9,97.12,ODR,0.944,0.056,,,JMD,0.53
16,1,93.0,95.0,14.0,254.74,54.77,25.24,93.61,1.0054,0.954,36.39,192.03,93.62,ODR,0.75,0.25,,,ODR,0.96
37,2,337.5,341.0,13.57,239.91,46.31,42.22,338.59,0.9397,0.965,69.21,206.44,338.59,,0.0,1.0,,,,
24,1,208.5,210.5,13.57,46.23,13.5,32.92,209.2,0.2249,0.8984,6.42,129.37,29.2,,0.0,1.0,STA,2.46,DAT,7.12
59,3,303.0,308.0,13.39,188.46,40.68,48.66,305.67,0.5621,0.9796,80.58,262.9,305.67,CVD,1.0,0.0,,,CVD,1.98
467,5,174.0,182.0,13.12,296.22,39.15,15.07,178.3,0.9747,0.6476,20.12,202.07,178.31,CCY,0.414,0.586,CCY,7.58,,
73,4,310.5,317.0,13.0,199.35,-18.68,67.5,311.37,0.7565,0.8285,161.47,60.25,131.37,ECV,0.933,0.067,ECV,5.17,SOV,0.43
17,1,195.0,197.0,13.0,66.65,-5.63,54.08,196.16,0.3637,0.9775,103.48,106.6,16.16,XIE,1.0,0.0,,,XIE,0.18
16,1,330.0,332.0,13.0,255.87,53.43,32.53,331.07,0.9877,0.6387,55.0,182.09,331.07,,0.0,1.0,,,ETD,6.54
16,1,264.0,266.0,13.0,139.5,1.23,62.1,265.1,0.3428,0.9768,143.15,108.76,85.1,EHY,1.0,0.0,EHY,3.61,DOH,5.05
43,3,336.0,341.0,13.0,176.63,6.37,39.33,338.63,0.2093,0.9935,9.06,304.77,338.64,,0.0,1.0,,,,
15,1,15.0,17.0,13.0,204.16,-14.12,29.72,16.27,0.3501,0.8489,4.71,114.81,196.24,OAV,1.0,0.0,,,OAV,0.88
16,1,1.5,3.5,13.0,118.71,-35.01,13.78,1.83,0.9768,0.6443,17.35,18.12,181.82,M25F1,0.438,0.562,,,,
16,1,138.0,140.0,13.0,46.12,57.52,60.42,139.58,0.961,1.0402,114.38,154.04,139.58,PER,1.0,0.0,PER,0.34,,
11,1,190.5,192.5,13.0,31.43,8.82,32.28,192.0,0.2039,0.8866,6.5,134.08,12.0,STA,0.091,0.909,STA,0.89,SOA,0.64
27,2,235.5,239.0,13.0,23.31,36.94,16.55,236.3,0.8281,0.7303,11.18,232.25,236.29,AND,0.941,0.059,AND,3.69,,
35,1,51.0,53.0,12.86,229.97,-29.26,24.97,52.19,0.522,0.7897,9.32,95.44,232.17,,0.0,1.0,,,SLL,0.48
24,1,12.0,14.0,12.82,241.61,0.94,55.95,12.77,0.2711,0.9898,111.35,297.63,12.77,ALO,1.0,0.0,,,ALO,2.99
64,1,210.0,212.0,12.23,47.22,13.66,32.03,211.27,0.2474,0.8861,6.1,126.9,31.27,,0.0,1.0,STA,1.58,LCT,1.02
23,1,322.5,324.5,12.07,229.19,-59.86,59.04,322.87,0.9343,0.9057,110.07,332.73,142.87,,0.0,1.0,,,NOR,6.29
26,2,166.5,170.0,12.0,136.18,-68.86,19.38,168.72,0.9909,0.6521,29.51,343.88,348.72,,0.0,1.0,,,BEC,5.16
15,1,289.5,291.5,12.0,171.82,-15.02,66.4,290.45,0.6635,0.9493,145.71,70.96,110.44,KCR,0.933,0.067,,,KCR,0.51
21,2,111.0,114.5,12.0,6.75,50.82,57.58,113.27,0.9984,0.9832,107.53,164.65,113.27,ZCS,1.0,0.0,ZCS,0.15,,
14,1,13.5,15.5,12.0,195.03,-12.31,25.25,14.62,0.5033,0.7868,4.78,97.62,194.58,,0.0,1.0,,,OAV,6.76
15,1,226.5,228.5,12.0,55.65,-0.94,28.67,227.2,0.4957,0.8837,19.76,93.42,47.21,OER,1.0,0.0,OER,1.34,,
24,2,183.0,186.5,12.0,109.46,47.93,64.72,184.79,0.9446,0.8445,135.12,151.05,184.79,SOL,1.0,0.0,,,SOL,0.37
15,1,1.5,3.5,12.0,293.98,43.2,40.51,2.76,0.9142,0.9319,66.49,145.68,2.77,ZCY,0.2,0.8,,,,
15,1,357.0,359.0,12.0,52.81,68.58,11.45,358.24,0.9882,0.6277,13.47,168.49,358.25,,0.0,1.0,,,,
15,1,57.0,59.0,12.0,240.72,-10.52,25.81,57.81,0.5165,0.8181,9.2,274.89,57.85,MPS,0.933,0.067,,,MPS,2.93
15,1,202.5,204.5,12.0,92.39,15.32,68.05,203.74,0.6493,1.0167,163.75,71.91,23.74,ORI,1.0,0.0,ORI,2.24,XGM,5.1
67,2,310.5,314.0,11.88,249.16,24.51,54.75,313.16,0.8895,0.9359,97.79,142.99,313.16,FBH,0.927,0.073,,,FBH,0.3
57,2,157.5,161.0,11.48,242.0,58.67,20.02,160.17,0.9982,0.6611,30.68,166.67,160.18,AUD,0.575,0.425,AUD,1.7,IOD,7.62
22,1,49.5,51.5,11.33,213.37,8.94,15.41,50.43,0.8635,0.6791,9.0,230.03,50.46,AVB,0.5,0.5,,,,
19,1,241.5,243.5,11.33,64.77,15.59,23.12,242.51,0.5277,0.7557,4.59,94.74,62.53,FTA,1.0,0.0,STA,0.86,FTA,0.64
22,1,51.0,53.0,11.33,297.07,52.4,40.72,52.26,1.0091,0.9664,67.59,175.74,52.26,PCY,1.0,0.0,,,PCY,0.08
22,1,312.0,314.0,11.33,196.23,-35.08,65.99,313.3,0.8752,0.9667,133.56,39.31,133.3,,0.0,1.0,,,,
14,1,288.0,290.0,11.0,218.16,25.48,61.2,289.16,0.9662,0.9678,114.95,164.79,289.16,,0.0,1.0,,,TBO,5.07
11,1,25.5,27.5,11.0,209.96,-2.21,24.53,26.1,0.538,0.7739,8.2,273.82,26.12,,0.0,1.0,,,,
14,1,184.5,186.5,11.0,12.13,7.7,28.15,185.36,0.3976,0.856,2.65,288.23,185.4,NPI,0.643,0.357,NPI,2.11,SPI,6.36
14,1,210.0,212.0,11.0,45.16,19.16,31.2,210.97,0.2576,0.8745,3.04,306.31,210.97,,0.0,1.0,NTA,0.45,DAT,3.04
12,1,171.0,173.0,11.0,269.46,9.77,9.05,172.07,1.0036,0.6132,7.78,186.12,172.09,,0.0,1.0,,,SOS,2.71
58,4,52.5,57.5,11.0,239.11,-10.66,26.02,54.6,0.4892,0.8051,9.06,278.41,54.63,MPS,0.818,0.091,,,XSC,1.39
14,1,354.0,356.0,11.0,187.64,-44.79,44.77,354.77,0.4832,0.9685,68.35,92.5,174.77,,0.0,1.0,,,,
14,1,85.5,87.5,11.0,280.4,0.75,36.62,86.47,0.3809,0.978,35.11,285.29,86.48,JTS,1.0,0.0,,,JTS,1.03
14,1,94.5,96.5,11.0,13.07,6.52,70.27,95.1,0.937,0.9874,178.52,147.38,94.93,DPI,1.0,0.0,,,DPI,1.26
27,2,313.5,317.0,11.0,225.61,-60.65,57.82,316.12,0.8928,0.9472,106.5,323.72,136.12,,0.0,1.0,,,NOR,7.85
30,1,69.0,71.0,10.75,198.12,51.14,12.29,69.8,1.0134,0.6561,14.65,182.51,69.82,M25L1,0.6,0.4,,,,
30,1,330.0,332.0,10.75,242.33,-65.89,56.8,331.17,0.9291,0.9477,103.9,331.29,151.17,,0.0,1.0,,,TTR,1.75
